Character,Code word,ICAO 2008 IPA convention[5],ICAO recording (1955)[12],Wikipedia IPA and respelling,ICAO 2008 respelling [5],ITU-R 2007 (WRC-07) respelling[7],IMO respelling[citation needed],FAA respelling[8][9],SIA[13] (France aeronautical),NATO & U.S. Army respelling[14]
A,Alfa,ˈælfɑ,[ˈælfʌ],/ˈælfɑː/ AL-fah,AL FAH,AL FAH,AL FAH,ALFAH or AL-FAH,al fah,AL fah
B,Bravo,ˈbrɑːˈvo,[brɑˈvoʊ],/ˌbrɑːˈvoʊ/ BRAH-VOH,BRAH VOH,BRAH VOH,BRAH VOH (1955: BRAH VOH),BRAHVOH or BRAH-VO,bra vo,BRAH voh
C,Charlie,ˈtʃɑːli  or ˈʃɑːli,"[ˈtʃɑ˞li], [ˈʃɑ˞li]",/ˈtʃɑːrliː/ CHAR-lee or /ˈʃɑːrliː/ SHAR-lee,CHAR LEE or SHAR LEE,CHAR LEE or SHAR LEE,CHAR LEE,CHARLEE or CHAR-LEE,"tchah li, char li",CHAR lee
D,Delta,ˈdeltɑ,[ˈdɛltʌ],/ˈdɛltɑː/ DEL-tah,DELL TAH,DELL TAH,DELL TAH,DELLTAH or DELL-TAH,del tah,DEL tah
E,Echo,ˈeko,[ˈɛkoʊ],/ˈɛkoʊ/,ECK OH,ECK OH,ECK OH,ECKOH or ECK-OH,èk o,EKK oh
F,Foxtrot,ˈfɔkstrɔt,[ˈfɑkstrɑt],/ˈfɒkstrɒt/ FOKS-trot,FOKS TROT,FOKS TROT,FOKS TROT,FOKSTROT or FOKS-TROT,fox trott,FOKS trot
G,Golf,ɡʌlf  [sic],[ˈɡʌl(f)],/ˈɡɒlf/ GOLF,GOLF,GOLF,GOLF,GOLF,golf,Golf
H,Hotel,hoːˈtel,[hoʊˈtɛl],/hoʊˈtɛl/ hoh-TEL,HOH TELL,HOH TELL,HOH TELL,HOHTELL or HOH-TELL,ho tèll,HO tell
I,India,ˈindiˑɑ,[ˈɪndi.ʌ],/ˈɪndiːɑː/ IN-dee-ah,IN DEE AH,IN DEE AH,IN DEE AH,INDEE AH or IN-DEE-AH,in di ah,IN dee ah
J,Juliett,ˈdʒuːliˑˈet,[ˌdʒuliˈɛt],/ˈdʒuːliːɛt/ JEW-lee-et or /ˌdʒuːliːˈɛt/ JEW-lee-ET,JEW LEE ETT,JEW LEE ETT,JEW LEE ETT,JEWLEE ETT or JEW-LEE-ETT,djou li ètt,JEW lee ett
K,Kilo,ˈkiːlo,[ˈkiloʊ],/ˈkiːloʊ/ KEE-loh,KEY LOH,KEY LOH,KEY LOH,KEYLOH or KEY-LOH,ki lo,KEY loh
L,Lima,ˈliːmɑ,[ˈlimʌ],/ˈliːmɑː/ LEE-mah,LEE MAH,LEE MAH,LEE MAH,LEEMAH or LEE-MAH,li mah,LEE mah
M,Mike,mɑik,[ˈmʌɪk],/ˈmaɪk/ MYK,MIKE,MIKE,MIKE,MIKE,maïk,Mike
N,November,noˈvembə,[noʊˈvɛmbɹ̩],/noʊˈvɛmbər/ noh-VEM-bər[15],NO VEM BER,NO VEM BER,NO VEM BER,NOVEMBER or NO-VEM-BER,no vèmm ber,NOH vem ber
O,Oscar,ˈɔskɑ,[ˈɑskɹ̩],/ˈɒskɑː/ OS-kah,OSS CAH,OSS CAH,OSS CAH,OSS-SCAR or OSS-CAR,oss kar,OSS car
P,Papa,pəˈpɑ,[pəˈpɑ],/pɑːˈpɑː/ pah-PAH,PAH PAH,PAH PAH,PAH PAH,PAHPAH or PAH-PAH,pah pah,PAH pah
Q,Quebec,keˈbek,[kɛˈbɛk],/kɛˈbɛk/ ke-BEK,KEH BECK,KEH BECK,KEH BECK,KEHBECK or KWUH-BECK,ké bèk,keh BECK
